date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:37	327/327	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jan%202019%2000:25:36%20GMT	http://www.meridalegal.com/robots.txt		(from )
18:25:37	28325/28325	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2017:18:01%20GMT	http://www.meridalegal.com/	C:/My%20Web%20Sites/pagina/www.meridalegal.com/index.html	(from )
18:25:38	1686/1686	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Dec%202015%2000:31:28%20GMT	http://www.meridalegal.com/img/favicon.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/favicon.png	(from http://www.meridalegal.com/)
18:25:38	88967/88967	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Sep%202016%2016:09:16%20GMT	http://www.meridalegal.com/css/style.css	C:/My%20Web%20Sites/pagina/www.meridalegal.com/css/style.css	(from http://www.meridalegal.com/)
18:25:38	16626/16626	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Sep%202016%2016:07:21%20GMT	http://www.meridalegal.com/css/responsive.css	C:/My%20Web%20Sites/pagina/www.meridalegal.com/css/responsive.css	(from http://www.meridalegal.com/)
18:25:39	28325/28325	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2017:18:01%20GMT	http://www.meridalegal.com/index.html	C:/My%20Web%20Sites/pagina/www.meridalegal.com/index-2.html	(from http://www.meridalegal.com/)
18:25:40	16598/16598	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2017:18:22%20GMT	http://www.meridalegal.com/quienes-somos.html	C:/My%20Web%20Sites/pagina/www.meridalegal.com/quienes-somos.html	(from http://www.meridalegal.com/)
18:25:41	11814/11814	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Jun%202016%2019:12:33%20GMT	http://www.meridalegal.com/img/logo-2.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/logo-2.png	(from http://www.meridalegal.com/)
18:25:41	18155/18155	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Feb%202017%2019:57:39%20GMT	http://www.meridalegal.com/asociados.html	C:/My%20Web%20Sites/pagina/www.meridalegal.com/asociados.html	(from http://www.meridalegal.com/)
18:25:41	25809/25809	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2017:18:37%20GMT	http://www.meridalegal.com/servicios.html	C:/My%20Web%20Sites/pagina/www.meridalegal.com/servicios.html	(from http://www.meridalegal.com/)
18:25:42	23499/23499	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2017:20:36%20GMT	http://www.meridalegal.com/asesoria-patronal.html	C:/My%20Web%20Sites/pagina/www.meridalegal.com/asesoria-patronal.html	(from http://www.meridalegal.com/)
18:25:43	13676/13676	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2017:21:56%20GMT	http://www.meridalegal.com/asesoria-trabajadores.html	C:/My%20Web%20Sites/pagina/www.meridalegal.com/asesoria-trabajadores.html	(from http://www.meridalegal.com/)
18:25:44	13081/13081	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2017:18:37%20GMT	http://www.meridalegal.com/servicios-notariales.html	C:/My%20Web%20Sites/pagina/www.meridalegal.com/servicios-notariales.html	(from http://www.meridalegal.com/)
18:25:44	17879/17879	---M--	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202017%2019:26:36%20GMT	http://www.meridalegal.com/areas.html	C:/My%20Web%20Sites/pagina/www.meridalegal.com/areas.html	(from http://www.meridalegal.com/)
18:25:45	13831/13831	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Jul%202017%2017:10:57%20GMT	http://www.meridalegal.com/contacto.html	C:/My%20Web%20Sites/pagina/www.meridalegal.com/contacto.html	(from http://www.meridalegal.com/)
18:25:47	3928/3928	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jun%202016%2021:16:33%20GMT	http://www.meridalegal.com/img/home.jpg	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/home.jpg	(from http://www.meridalegal.com/)
18:25:49	10280/10280	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jun%202016%2017:53:32%20GMT	http://www.meridalegal.com/img/footer-logo.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/footer-logo.png	(from http://www.meridalegal.com/)
18:25:50	13030/13030	---M--	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202017%2019:26:58%20GMT	http://www.meridalegal.com/aviso-privacidad.html	C:/My%20Web%20Sites/pagina/www.meridalegal.com/aviso-privacidad.html	(from http://www.meridalegal.com/)
18:25:53	33580/33580	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jun%202016%2021:28:30%20GMT	http://www.meridalegal.com/img/case-evaluation-image.jpg	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/case-evaluation-image.jpg	(from http://www.meridalegal.com/)
18:25:59	35951/35951	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20Dec%202015%2004:04:20%20GMT	http://www.meridalegal.com/js/bootstrap.min.js	C:/My%20Web%20Sites/pagina/www.meridalegal.com/js/bootstrap.min.js	(from http://www.meridalegal.com/)
18:26:05	95992/95992	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20Dec%202015%2004:04:22%20GMT	http://www.meridalegal.com/js/vendor/jquery-1.11.3.min.js	C:/My%20Web%20Sites/pagina/www.meridalegal.com/js/vendor/jquery-1.11.3.min.js	(from http://www.meridalegal.com/)
18:26:18	113138/113138	---M--	200	added ('OK')	application/javascript	date:Wed,%2029%20Jul%202015%2013:41:06%20GMT	http://www.meridalegal.com/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/pagina/www.meridalegal.com/js/jquery.themepunch.revolution.min.js	(from http://www.meridalegal.com/)
18:26:21	15514/15514	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20Dec%202015%2004:04:22%20GMT	http://www.meridalegal.com/js/vendor/modernizr-2.8.3.min.js	C:/My%20Web%20Sites/pagina/www.meridalegal.com/js/vendor/modernizr-2.8.3.min.js	(from http://www.meridalegal.com/)
18:26:22	98511/98511	---M--	200	added ('OK')	application/javascript	date:Wed,%2029%20Jul%202015%2013:41:06%20GMT	http://www.meridalegal.com/js/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/pagina/www.meridalegal.com/js/jquery.themepunch.tools.min.js	(from http://www.meridalegal.com/)
18:26:23	1478/1478	---M--	200	added ('OK')	application/javascript	date:Sat,%2015%20Aug%202015%2023:49:52%20GMT	http://www.meridalegal.com/js/jquery.appear.js	C:/My%20Web%20Sites/pagina/www.meridalegal.com/js/jquery.appear.js	(from http://www.meridalegal.com/)
18:26:24	3466/3466	---M--	200	added ('OK')	application/javascript	date:Fri,%2029%20May%202015%2000:26:18%20GMT	http://www.meridalegal.com/js/jquery.countTo.js	C:/My%20Web%20Sites/pagina/www.meridalegal.com/js/jquery.countTo.js	(from http://www.meridalegal.com/)
18:26:27	20880/20880	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Jun%202016%2019:12:23%20GMT	http://www.meridalegal.com/js/validate.js	C:/My%20Web%20Sites/pagina/www.meridalegal.com/js/validate.js	(from http://www.meridalegal.com/)
18:26:27	40401/40401	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20Dec%202015%2004:04:20%20GMT	http://www.meridalegal.com/js/owl.carousel.min.js	C:/My%20Web%20Sites/pagina/www.meridalegal.com/js/owl.carousel.min.js	(from http://www.meridalegal.com/)
18:26:31	17897/17897	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20Dec%202015%2004:04:20%20GMT	http://www.meridalegal.com/js/plugins.js	C:/My%20Web%20Sites/pagina/www.meridalegal.com/js/plugins.js	(from http://www.meridalegal.com/)
18:26:32	30546/30546	---M--	200	added ('OK')	application/javascript	date:Wed,%2029%20Jul%202015%2013:40:56%20GMT	http://www.meridalegal.com/js/gmap.js	C:/My%20Web%20Sites/pagina/www.meridalegal.com/js/gmap.js	(from http://www.meridalegal.com/)
18:26:32	6110/6110	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Jun%202016%2018:57:21%20GMT	http://www.meridalegal.com/js/main.js	C:/My%20Web%20Sites/pagina/www.meridalegal.com/js/main.js	(from http://www.meridalegal.com/)
18:26:33	141622/141622	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Dec%202015%2004:04:16%20GMT	http://www.meridalegal.com/css/bootstrap.css	C:/My%20Web%20Sites/pagina/www.meridalegal.com/css/bootstrap.css	(from http://www.meridalegal.com/css/style.css)
18:26:34	26711/26711	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Sep%202015%2011:56:58%20GMT	http://www.meridalegal.com/css/font-awesome.min.css	C:/My%20Web%20Sites/pagina/www.meridalegal.com/css/font-awesome.min.css	(from http://www.meridalegal.com/css/style.css)
18:26:35	14168/14168	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Dec%202015%2004:04:16%20GMT	http://www.meridalegal.com/css/normalize.css	C:/My%20Web%20Sites/pagina/www.meridalegal.com/css/normalize.css	(from http://www.meridalegal.com/css/style.css)
18:26:36	3274/3274	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Dec%202015%2004:04:16%20GMT	http://www.meridalegal.com/css/slicknav.css	C:/My%20Web%20Sites/pagina/www.meridalegal.com/css/slicknav.css	(from http://www.meridalegal.com/css/style.css)
